customer_id,credit_score
0,561
1,603
2,571
3,320
4,497
5,604
6,618
7,337
8,436
9,361
10,434
11,459
12,587
13,558
14,390
15,589
16,500
17,316
18,484
19,569
20,588
21,595
22,541
23,446
24,370
25,591
26,327
27,438
28,386
29,532
30,394
31,374
32,370
33,586
34,584
35,587
36,400
37,398
38,394
39,395
40,435
41,608
42,530
43,428
44,480
45,584
46,359
47,581
48,351
49,356
50,344
51,370
52,386
53,589
54,445
55,401
56,394
57,603
58,363
59,415
60,335
61,572
62,385
63,359
64,544
65,593
66,355
67,368
68,467
69,379
70,471
71,459
72,575
73,447
74,584
75,608
76,566
77,410
78,584
79,332
80,577
81,433
82,570
83,364
84,558
85,429
86,392
87,604
88,422
89,402
90,595
91,499
92,378
93,574
94,383
95,595
96,381
97,420
98,344
99,581
100,578
101,401
102,369
103,373
104,356
105,329
106,592
107,558
108,393
109,372
110,596
111,385
112,572
113,406
114,560
115,592
116,525
117,396
118,329
119,395
120,337
121,480
122,539
123,413
124,390
125,432
126,564
127,471
128,449
129,379
130,413
131,577
132,397
133,389
134,457
135,450
136,411
137,563
138,614
139,428
140,384
141,429
142,374
143,607
144,615
145,347
146,356
147,539
148,556
149,558
150,546
151,563
152,590
153,332
154,569
155,331
156,529
157,582
158,493
159,549
160,604
161,448
162,572
163,572
164,339
165,602
166,576
167,348
168,607
169,531
170,350
171,514
172,349
173,573
174,538
175,438
176,391
177,332
178,423
179,550
180,578
181,572
182,372
183,367
184,566
185,602
186,354
187,380
188,576
189,416
190,329
191,564
192,530
193,604
194,530
195,340
196,503
197,436
198,556
199,613
200,514
201,334
202,609
203,359
204,571
205,365
206,484
207,529
208,544
209,590
210,545
211,439
212,583
213,556
214,357
215,381
216,552
217,558
218,535
219,485
220,549
221,592
222,578
223,434
224,351
225,336
226,402
227,339
228,538
229,446
230,588
231,435
232,394
233,592
234,517
235,578
236,588
237,350
238,340
239,389
240,362
241,491
242,358
243,338
244,357
245,339
246,381
247,537
248,353
249,390
250,374
251,588
252,588
253,567
254,567
255,414
256,439
257,335
258,512
259,369
260,600
261,564
262,557
263,344
264,506
265,353
266,482
267,353
268,561
269,555
270,528
271,510
272,585
273,544
274,528
275,352
276,427
277,400
278,611
279,553
280,304
281,377
282,528
283,502
284,342
285,466
286,413
287,350
288,377
289,348
290,352
291,497
292,365
293,554
294,358
295,344
296,371
297,583
298,617
299,576
300,448
301,608
302,529
303,606
304,472
305,437
306,584
307,591
308,349
309,575
310,362
311,630
312,572
313,362
314,353
315,569
316,562
317,618
318,464
319,416
320,354
321,397
322,345
323,586
324,484
325,454
326,592
327,581
328,424
329,513
330,527
331,488
332,342
333,337
334,350
335,507
336,565
337,377
338,359
339,547
340,526
341,582
342,368
343,415
344,392
345,525
346,595
347,390
348,417
349,583
350,457
351,424
352,550
353,615
354,565
355,589
356,424
357,421
358,577
359,571
360,533
361,314
362,567
363,553
364,603
365,357
366,612
367,566
368,564
369,586
370,390
371,424
372,325
373,334
374,412
375,585
376,430
377,605
378,499
379,369
380,594
381,594
382,527
383,387
384,565
385,568
386,385
387,576
388,431
389,568
390,378
391,607
392,367
393,389
394,365
395,361
396,551
397,554
398,318
399,588
400,584
401,565
402,343
403,396
404,605
405,571
406,533
407,365
408,574
409,533
410,466
411,618
412,579
413,594
414,381
415,591
416,337
417,525
418,359
419,508
420,328
421,506
422,622
423,573
424,513
425,586
426,384
427,584
428,609
429,438
430,407
431,514
432,449
433,382
434,550
435,588
436,570
437,431
438,350
439,587
440,521
441,302
442,383
443,340
444,395
445,582
446,609
447,378
448,607
449,580
450,517
451,418
452,415
453,391
454,365
455,536
456,547
457,328
458,579
459,598
460,375
461,472
462,575
463,434
464,582
465,602
466,375
467,394
468,341
469,567
470,347
471,371
472,563
473,364
474,564
475,558
476,593
477,372
478,330
479,447
480,543
481,609
482,346
483,579
484,402
485,568
486,343
487,383
488,510
489,464
490,582
491,360
492,365
493,371
494,455
495,330
496,385
497,353
498,518
499,352
500,366
501,562
502,384
503,583
504,528
505,440
506,345
507,375
508,414
509,467
510,489
511,359
512,585
513,605
514,365
515,490
516,440
517,539
518,528
519,392
520,583
521,377
522,603
523,586
524,336
525,595
526,356
527,613
528,362
529,571
530,365
531,355
532,357
533,411
534,383
535,423
536,367
537,619
538,551
539,604
540,498
541,335
542,596
543,365
544,408
545,362
546,572
547,563
548,370
549,450
550,377
551,458
552,450
553,521
554,493
555,580
556,615
557,577
558,539
559,347
560,420
561,534
562,587
563,555
564,597
565,529
566,440
567,363
568,374
569,407
570,581
571,496
572,361
573,440
574,581
575,563
576,383
577,631
578,451
579,333
580,342
581,572
582,586
583,602
584,408
585,378
586,409
587,391
588,583
589,371
590,572
591,534
592,373
593,575
594,411
595,348
596,546
597,584
598,562
599,363
600,536
601,446
602,556
603,397
604,564
605,583
606,577
607,585
608,392
609,425
610,348
611,625
612,324
613,359
614,617
615,393
616,584
617,526
618,350
619,428
620,415
621,595
622,353
623,393
624,385
625,576
626,573
627,551
628,357
629,332
630,337
631,569
632,369
633,373
634,393
635,586
636,485
637,532
638,580
639,456
640,566
641,412
642,617
643,529
644,572
645,520
646,307
647,590
648,427
649,395
650,583
651,618
652,361
653,499
654,521
655,343
656,486
657,611
658,599
659,359
660,632
661,484
662,554
663,584
664,580
665,388
666,438
667,362
668,580
669,352
670,582
671,604
672,571
673,531
674,559
675,487
676,413
677,605
678,586
679,363
680,553
681,615
682,573
683,608
684,350
685,603
686,537
687,513
688,441
689,588
690,372
691,589
692,574
693,578
694,524
695,357
696,503
697,546
698,357
699,366
700,425
701,552
702,567
703,546
704,563
705,579
706,332
707,389
708,374
709,376
710,584
711,506
712,386
713,338
714,588
715,360
716,339
717,377
718,423
719,520
720,425
721,577
722,563
723,369
724,489
725,491
726,536
727,400
728,516
729,428
730,601
731,387
732,426
733,571
734,521
735,597
736,386
737,574
738,605
739,593
740,348
741,553
742,361
743,569
744,402
745,376
746,560
747,369
748,401
749,341
750,591
751,602
752,417
753,337
754,414
755,595
756,545
757,562
758,533
759,564
760,470
761,397
762,588
763,411
764,491
765,573
766,564
767,363
768,569
769,357
770,411
771,485
772,578
773,454
774,599
775,623
776,568
777,377
778,345
779,537
780,487
781,394
782,587
783,379
784,382
785,319
786,463
787,341
788,614
789,408
790,396
791,595
792,449
793,564
794,365
795,594
796,449
797,632
798,573
799,383
800,600
801,454
802,547
803,350
804,598
805,380
806,366
807,627
808,501
809,572
810,559
811,508
812,568
813,451
814,386
815,581
816,323
817,589
818,314
819,369
820,402
821,575
822,493
823,381
824,357
825,441
826,516
827,539
828,438
829,579
830,383
831,415
832,417
833,454
834,575
835,580
836,452
837,358
838,573
839,393
840,538
841,595
842,595
843,532
844,516
845,599
846,572
847,503
848,382
849,426
850,590
851,393
852,585
853,320
854,515
855,475
856,536
857,491
858,600
859,598
860,469
861,590
862,586
863,568
864,415
865,594
866,397
867,356
868,368
869,348
870,529
871,575
872,333
873,379
874,322
875,487
876,356
877,383
878,376
879,590
880,577
881,352
882,443
883,343
884,523
885,400
886,568
887,491
888,544
889,518
890,350
891,387
892,603
893,500
894,576
895,589
896,410
897,473
898,561
899,501
900,355
901,440
902,375
903,346
904,340
905,420
906,564
907,388
908,518
909,410
910,390
911,370
912,610
913,584
914,417
915,364
916,554
917,347
918,367
919,558
920,598
921,377
922,538
923,341
924,313
925,364
926,560
927,582
928,409
929,583
930,363
931,372
932,451
933,544
934,602
935,559
936,597
937,606
938,554
939,583
940,368
941,365
942,579
943,365
944,391
945,515
946,514
947,426
948,539
